"","pais_c","ciudad1","quintilpc","ave_income_pc","ave_income_pcna","medianincome","homesize","access","sewer","mediana","fam4"
"57","HND","Tegucigalpa",2,2396.38457481963,2396.38457481963,2400,4.43059923841363,0.89494729450153,0.69527822602204,3795.71428571429,9585.53829927852
"58","HND","Tegucigalpa",3,3829.07112369669,3829.07112369669,3787.38095238095,3.97325905365532,0.94439640193375,0.745865567922275,3795.71428571429,15316.2844947868
"59","HND","Tegucigalpa",4,5981.53845590249,5981.53845590249,5918.33333301544,3.53840878241664,0.949899009532262,0.802638813639372,3795.71428571429,23926.15382361
"60","HND","Tegucigalpa",5,17419.2407862793,17419.2407862793,11451.353515625,2.70429937950981,0.986754767666449,0.907574847584457,3795.71428571429,69676.9631451173
"61","MEX","Atizapan de Zaragoza",1,1841.94655898037,1841.94655898037,1993.29808959961,4.30473025801407,0.944627499162292,0.939294091366023,5642.06930033366,7367.7862359215
"62","MEX","Atizapan de Zaragoza",2,3288.77609493873,3288.77609493873,3190.603612264,4.68330282576364,1,1,5642.06930033366,13155.1043797549
"63","MEX","Atizapan de Zaragoza",3,5905.89433286097,5905.89433286097,5517.08138020833,2.95014708972473,1,1,5642.06930033366,23623.5773314439
"64","MEX","Atizapan de Zaragoza",4,9557.70091235988,9557.70091235988,9229.37158203125,2.87584546950216,1,1,5642.06930033366,38230.8036494395
"65","MEX","Atizapan de Zaragoza",5,25603.0402359885,25603.0402359885,18692.6555379232,2.39495298178788,1,1,5642.06930033366,102412.160943954
"66","MEX","CDMX",1,1710.55557329154,1710.55557329154,1745.34046427409,4.32960568137791,0.966994669946699,0.921251001500841,4679.13331222534,6842.22229316617
"67","MEX","CDMX",2,3035.46015550506,3035.46015550506,3012.85626983643,3.82490065626219,0.978507083599475,0.970746119046677,4679.13331222534,12141.8406220202
"68","MEX","CDMX",3,4729.13288445171,4729.13288445171,4703.16121419271,3.29327229464491,0.979704887494485,0.955659591156429,4679.13331222534,18916.5315378068
"69","MEX","CDMX",4,7929.00096988328,7929.00096988328,7670.58605957031,2.86285081324246,0.995695485251621,0.964019154619677,4679.13331222534,31716.0038795331
"70","MEX","CDMX",5,31791.8039211887,31791.8039211887,18722.1390991211,2.13554344215263,0.997521743726029,0.990717391960861,4679.13331222534,127167.215684755
"71","MEX","Ecatepec",1,1345.36949356001,1345.36949356001,1422.37253316243,4.62703039336798,1,1,3118.79348627726,5381.47797424005
"72","MEX","Ecatepec",2,2293.45943440695,2293.45943440695,2294.19779459635,4.25415329336482,1,1,3118.79348627726,9173.83773762781
"73","MEX","Ecatepec",3,3108.9173744737,3108.9173744737,3111.25105794271,3.49385146124918,1,1,3118.79348627726,12435.6694978948
"74","MEX","Ecatepec",4,4175.88096857006,4175.88096857006,4066.05958557129,3.06689717849346,0.983401059240147,1,3118.79348627726,16703.5238742802
"75","MEX","Ecatepec",5,8268.13518666296,8268.13518666296,6903.72528076172,2.19435449443467,1,1,3118.79348627726,33072.5407466519
"76","MEX","Guadalajara",1,2117.63839145832,2117.63839145832,2250.42676289876,4.53774489807169,0.967552728194838,0.98230449498903,5104.51161146164,8470.55356583327
"77","MEX","Guadalajara",2,3549.03799045712,3549.03799045712,3517.97955036163,4.04183282508406,0.988550428381533,1,5104.51161146164,14196.1519618285
"78","MEX","Guadalajara",3,5180.84670214885,5180.84670214885,5144.35128688812,3.55238707674568,1,1,5104.51161146164,20723.3868085954
"79","MEX","Guadalajara",4,8072.82824645723,8072.82824645723,7950.14854939779,2.6943371305927,1,1,5104.51161146164,32291.3129858289
"80","MEX","Guadalajara",5,22153.8947768743,22153.8947768743,16191.918838501,2.41835119815927,1,1,5104.51161146164,88615.5791074974
"81","MEX","Monterrey",1,1885.12871557121,1885.12871557121,1906.08263549805,4.4044103905812,0.990621973802688,0.990621973802688,4601.20112609863,7540.51486228483
"82","MEX","Monterrey",2,3338.1874190998,3338.1874190998,3366.10079956055,4.01979887411332,1,0.98877599037942,4601.20112609863,13352.7496763992
"83","MEX","Monterrey",3,4718.67258105341,4718.67258105341,4605.85464477539,3.76859826393598,1,1,4601.20112609863,18874.6903242136
"84","MEX","Monterrey",4,8003.66812537989,8003.66812537989,7809.17810058594,3.09918116861668,1,1,4601.20112609863,32014.6725015196
"85","MEX","Monterrey",5,29333.4937045278,29333.4937045278,20940.9267852783,2.55144705718659,1,1,4601.20112609863,117333.974818111
"86","PAN","Panama",1,137.455192400499,137.455192400499,145,4.17320092410607,0.941553739526223,0,441.458333333333,549.820769601994
"87","PAN","Panama",2,282.301409339771,282.301409339771,282.5,3.89235335225655,0.977481946733157,0,441.458333333333,1129.20563735909
"88","PAN","Panama",3,443.977739250047,443.977739250047,441.111111111111,3.42556492062671,0.975446851784822,0,441.458333333333,1775.91095700019
"89","PAN","Panama",4,684.730100859075,684.730100859075,675,2.85296504100129,0.981631419939577,0,441.458333333333,2738.9204034363
"90","PAN","Panama",5,1634.98971241205,1634.98971241205,1300,2.69373743994894,0.98320726563915,0,441.458333333333,6539.95884964821
"91","PER","Lima",1,367.790672400466,367.790672400466,374.013895988464,4.41844943158249,0.882162657207339,0.854751977914571,897.542329971492,1471.16268960186
"92","PER","Lima",2,625.508018762078,625.508018762078,620.779779720306,4.12445474168815,0.926757439678676,0.894105244603529,897.542329971492,2502.03207504831
"93","PER","Lima",3,900.674933668795,900.674933668795,892.063661336899,3.66286734324338,0.936469879970395,0.914058882132852,897.542329971492,3602.69973467518
"94","PER","Lima",4,1340.82430462156,1340.82430462156,1315.7678527832,3.37921357754754,0.963458385580558,0.955476628067247,897.542329971492,5363.29721848624
"95","PER","Lima",5,3311.39877147123,3311.39877147123,2532.94527721405,2.64697818746482,0.978212045483829,0.967641194447394,897.542329971492,13245.5950858849
"96","PRY","Asuncion",1,461344.398434613,461344.398434613,490983.796875,4.45544760582928,0.950763358778626,0.424219292158223,1658316.11875,1845377.59373845
"97","PRY","Asuncion",2,1004217.91021619,1004217.91021619,1e+06,4.27561206262478,0.978669748870442,0.568876746874015,1658316.11875,4016871.64086475
"98","PRY","Asuncion",3,1670312.50865648,1670312.50865648,1648608.9375,3.75594778580953,0.983683065478279,0.605024914029055,1658316.11875,6681250.03462591
"99","PRY","Asuncion",4,2746499.70601152,2746499.70601152,2680664.91666667,3.19059610873465,0.984372843935422,0.749551538567683,1658316.11875,10985998.8240461
"100","PRY","Asuncion",5,10681837.4735997,10681837.4735997,5129833.5,2.68963429832995,0.992878253747819,0.853826158173984,1658316.11875,42727349.8943988
"101","URY","Montevideo",1,7821.07715841677,7821.07715841677,8500,3.63870595822016,0.999179254685088,0.700838332714517,23666.6666666667,31284.3086336671
"102","URY","Montevideo",2,15641.998750883,15641.998750883,15500,2.88970099667774,0.999560289231972,0.848211842876686,23666.6666666667,62567.995003532
"103","URY","Montevideo",3,23713.854582839,23713.854582839,23750,2.58986837090675,0.999765471548767,0.912745644122619,23666.6666666667,94855.4183313558
"104","URY","Montevideo",4,34862.3056058866,34862.3056058866,34666.6666666667,2.26778488065216,1,0.956991769788673,23666.6666666667,139449.222423547
"105","URY","Montevideo",5,72771.2199340113,72771.2199340113,60608.5,2.00093822382502,1,0.984597492205901,23666.6666666667,291084.879736045
